bp_code,bp_type,name,country,roles,email,phone,address_line1,address_line2,city,postal_code,credit_limit,payment_terms,currency,is_denied_party,id,is_active,client_id,created_at,created_by,updated_at,updated_by
BP-1000001,ORG,"NSC Electronic Materials USA, Inc.",US,CUSTOMER,,,1500 Semiconductor Blvd,,"Phoenix, AZ",,5000000,NET30,USD,0,1,1,DEMO,2026-05-03 09:36:28.673396,admin@example.com,2026-05-03 09:36:28.673398,admin@example.com
BP-1000002,ORG,"NSC Taiwan Materials Co., Ltd.",TW,CUSTOMER,,,"Hsinchu Science Park, Section 3",,Hsinchu,,8000000,NET30,USD,0,2,1,DEMO,2026-05-03 09:36:28.675289,admin@example.com,2026-05-03 09:36:28.675290,admin@example.com
BP-1000003,ORG,NSC Korea Advanced Materials Ltd.,KR,CUSTOMER,,,"Banwol Industrial Complex, Block 7",,Hwaseong,,6000000,NET30,USD,0,3,1,DEMO,2026-05-03 09:36:28.676144,admin@example.com,2026-05-03 09:36:28.676145,admin@example.com
BP-1000004,ORG,NSC Singapore Pte. Ltd.,SG,CUSTOMER,,,12 Jurong Industrial Way,,Jurong,,3000000,NET30,USD,0,4,1,DEMO,2026-05-03 09:36:28.677027,admin@example.com,2026-05-03 09:36:28.677028,admin@example.com
BP-2000001,ORG,Pacific Electronic Chemicals Distribution Ltd.,TW,CUSTOMER,,,"8F, No.123 Nanjing E. Rd",,Taipei,,1500000,NET45,USD,0,5,1,DEMO,2026-05-03 09:36:28.677799,admin@example.com,2026-05-03 09:36:28.677800,admin@example.com
BP-2000002,ORG,Eurasia Specialty Materials GmbH,DE,CUSTOMER,,,Industriestrasse 45,,Dresden,,2000000,NET60,EUR,0,6,1,DEMO,2026-05-03 09:36:28.678622,admin@example.com,2026-05-03 09:36:28.678623,admin@example.com
BP-2000003,ORG,ChemTech Solutions Israel Ltd.,IL,CUSTOMER,,,5 HaTaasiya St,,Kiryat Gat,,800000,NET45,USD,0,7,1,DEMO,2026-05-03 09:36:28.679430,admin@example.com,2026-05-03 09:36:28.679431,admin@example.com
BP-3000001,ORG,Apex Foundry Corporation,TW,CUSTOMER,,,"Southern Taiwan Science Park, Phase 6",,Tainan,,20000000,NET30,USD,0,8,1,DEMO,2026-05-03 09:36:28.680195,admin@example.com,2026-05-03 09:36:28.680196,admin@example.com
BP-3000002,ORG,Helios Memory Systems Co.,KR,CUSTOMER,,,"467 Bagae-ro, Bubal-eup",,Icheon,,15000000,NET30,USD,0,9,1,DEMO,2026-05-03 09:36:28.681131,admin@example.com,2026-05-03 09:36:28.681132,admin@example.com
BP-3000003,ORG,Sunrise Logic Devices Inc.,US,CUSTOMER,,,2501 NW Compass Way,,"Hillsboro, OR",,12000000,NET30,USD,0,10,1,DEMO,2026-05-03 09:36:28.681990,admin@example.com,2026-05-03 09:36:28.681991,admin@example.com
BP-3000004,ORG,Northern Silicon Technologies,US,CUSTOMER,,,8000 S Federal Way,,"Boise, ID",,9000000,NET30,USD,0,11,1,DEMO,2026-05-03 09:36:28.682803,admin@example.com,2026-05-03 09:36:28.682803,admin@example.com
BP-3000005,ORG,Yangtze Photonics Manufacturing,CN,CUSTOMER,,,"23 Linghu Avenue, Xinwu District",,Wuxi,,5000000,NET30,USD,0,12,1,DEMO,2026-05-03 09:36:28.683543,admin@example.com,2026-05-03 09:36:28.683544,admin@example.com
BP-5000001,ORG,Tokyo Specialty Solvents Corp.,JP,VENDOR,,,Daishi Industrial District 4-12,,Kawasaki,,,NET60,JPY,0,13,1,DEMO,2026-05-03 09:36:28.684241,admin@example.com,2026-05-03 09:36:28.684242,admin@example.com
BP-5000002,ORG,Osaka Hydrogen Peroxide Industries,JP,VENDOR,,,"Sakai Coastal Industrial Zone, Plant 3",,Osaka,,,NET60,JPY,0,14,1,DEMO,2026-05-03 09:36:28.684932,admin@example.com,2026-05-03 09:36:28.684933,admin@example.com
BP-5000003,ORG,Kyushu Silica Particles Ltd.,JP,VENDOR,,,Wakamatsu Eco-Town 7,,Kitakyushu,,,NET45,JPY,0,15,1,DEMO,2026-05-03 09:36:28.685659,admin@example.com,2026-05-03 09:36:28.685660,admin@example.com
BP-5000004,ORG,Bavarian Fluorine Chemicals AG,DE,VENDOR,,,"Chemiepark Süd, Building 12",,Munich,,,NET60,EUR,0,16,1,DEMO,2026-05-03 09:36:28.686775,admin@example.com,2026-05-03 09:36:28.686776,admin@example.com
BP-5000005,ORG,Gulf Coast Industrial Gases LLC,US,VENDOR,,,10500 Bay Area Blvd,,"Houston, TX",,,NET45,USD,0,17,1,DEMO,2026-05-03 09:36:28.687632,admin@example.com,2026-05-03 09:36:28.687633,admin@example.com
BP-5000006,ORG,Nagoya Polymer Synthesis K.K.,JP,VENDOR,,,Tobishima Industrial Park 22,,Nagoya,,,NET60,JPY,0,18,1,DEMO,2026-05-03 09:36:28.688452,admin@example.com,2026-05-03 09:36:28.688452,admin@example.com
BP-6000001,ORG,Asia Cleanroom Container Co.,JP,VENDOR,,,Kanazawa Industrial Block 14,,Yokohama,,,NET30,JPY,0,19,1,DEMO,2026-05-03 09:36:28.689200,admin@example.com,2026-05-03 09:36:28.689201,admin@example.com
