material_code,description,material_type,base_unit,standard_price,currency,hs_code,eccn,fefta_judgment,country_of_origin,weight_kg,last_compliance_check_at,is_active,created_at,updated_at
MAT-1000001,ArF Immersion Photoresist NSP-AR450,FERT,L,85000.00,JPY,3707.90,3B001,APPROVED,JP,1.050,2026-06-28T01:47:55.769911,True,2026-05-03T09:36:28.651985,2026-06-28T01:47:55.771132
MAT-1000002,KrF Photoresist NSP-KR220,FERT,L,62000.00,JPY,3707.90,EAR99,NOT_APPLICABLE,JP,1.020,2026-05-03T09:36:28.654910,True,2026-05-03T09:36:28.654567,2026-05-03T09:36:28.654965
MAT-1000003,EUV Photoresist NSP-EUV13 (Pilot Lot),FERT,L,240000.00,JPY,3707.90,EAR99,NOT_APPLICABLE,JP,1.080,2026-05-03T09:36:28.657125,True,2026-05-03T09:36:28.656746,2026-05-03T09:36:28.657171
MAT-2000001,CMP Slurry for Tungsten NSC-WSL30,FERT,L,12500.00,JPY,3824.99,EAR99,NOT_APPLICABLE,JP,1.200,2026-05-03T09:36:28.658066,True,2026-05-03T09:36:28.657799,2026-05-03T09:36:28.658108
MAT-2000002,CMP Slurry for Copper NSC-CuS18,FERT,L,14800.00,JPY,3824.99,EAR99,NOT_APPLICABLE,JP,1.150,2026-05-03T09:36:28.658892,True,2026-05-03T09:36:28.658652,2026-05-03T09:36:28.658933
MAT-3000001,Buffered Oxide Etchant BOE-7:1,FERT,L,3800.00,JPY,2811.19,3E001,REJECTED,JP,1.100,2026-06-27T23:47:00.593625,True,2026-05-03T09:36:28.659701,2026-06-27T23:47:00.603400
MAT-3000002,SC-1 Cleaning Solution (Standard),FERT,L,2200.00,JPY,3824.99,EAR99,NOT_APPLICABLE,JP,1.050,2026-05-03T09:36:28.662181,True,2026-05-03T09:36:28.661917,2026-05-03T09:36:28.662226
MAT-4000001,High Purity Silane Gas SiH4 6N,FERT,KG,98000.00,JPY,2804.40,3C001,APPLICABLE,JP,1.000,2026-05-03T09:36:28.663081,True,2026-05-03T09:36:28.662837,2026-05-03T09:36:28.663122
MAT-4000002,Tungsten Hexafluoride Process Gas WF6,FERT,KG,145000.00,JPY,2804.40,3C001,APPLICABLE,JP,1.000,2026-05-03T09:36:28.663966,True,2026-05-03T09:36:28.663697,2026-05-03T09:36:28.664007
MAT-4000003,Hafnium Precursor for ALD HfCl4,FERT,KG,320000.00,JPY,2931.90,3C001,APPLICABLE,JP,1.000,2026-05-03T09:36:28.664774,True,2026-05-03T09:36:28.664546,2026-05-03T09:36:28.664813
MAT-9000001,PGMEA Solvent (Electronic Grade),ROH,KG,1800.00,JPY,2901.10,EAR99,NOT_APPLICABLE,JP,,2026-05-03T09:36:28.665538,True,2026-05-03T09:36:28.665324,2026-05-03T09:36:28.665578
MAT-9000002,Hydrogen Peroxide H2O2 31%,ROH,KG,650.00,JPY,3824.99,EAR99,NOT_APPLICABLE,JP,,2026-05-03T09:36:28.666490,True,2026-05-03T09:36:28.666208,2026-05-03T09:36:28.666535
MAT-9000003,Colloidal Silica Particle Slurry Base,ROH,KG,4200.00,JPY,3824.99,EAR99,NOT_APPLICABLE,JP,,2026-05-03T09:36:28.667854,True,2026-05-03T09:36:28.667345,2026-05-03T09:36:28.667895
MAT-9000004,Photoacid Generator PAG-Resin Polymer,HALB,KG,28500.00,JPY,3824.99,EAR99,NOT_APPLICABLE,JP,,2026-05-03T09:36:28.668917,True,2026-05-03T09:36:28.668505,2026-05-03T09:36:28.668957
MAT-9100001,HDPE Chemical Drum 200L (Cleanroom Grade),HAWA,PC,8500.00,JPY,3824.99,EAR99,NOT_APPLICABLE,JP,,2026-05-03T09:36:28.670452,True,2026-05-03T09:36:28.670159,2026-05-03T09:36:28.670496
MAT-9000005,PAG Monomer (Photoacid Generator Precursor),ROH,KG,65000.00,JPY,,,UNKNOWN,JP,,,True,2026-05-03T09:36:34.999963,2026-05-03T09:36:34.999970
MAT-9000006,Quencher Additive (Trioctylamine Solution),ROH,KG,12000.00,JPY,,,UNKNOWN,JP,,,True,2026-05-03T09:36:35.002356,2026-05-03T09:36:35.002359
MAT-9000007,pH Modifier (Aqueous KOH 5%),ROH,KG,1800.00,JPY,,,UNKNOWN,JP,,,True,2026-05-03T09:36:35.003560,2026-05-03T09:36:35.003562
MAT-9000008,Pure Water (DI Water Electronic Grade),ROH,KG,150.00,JPY,,,UNKNOWN,JP,,,True,2026-05-03T09:36:35.004444,2026-05-03T09:36:35.004446
MAT-8000001,PAG Polymer Solution (Intermediate),HALB,KG,0.00,JPY,,,UNKNOWN,JP,,,True,2026-05-03T09:36:35.005443,2026-05-03T09:36:35.005444
MAT-DMIC-001,DRAM Embedded MCU 32bit ARM Cortex-M4 120MHz 4MB LPDRAM,FERT,PC,8500.00,JPY,854800,3A991,PENDING,JP,,2026-06-03T01:58:18.802684,True,2026-05-05T00:52:46.398229,2026-06-03T01:58:18.803367
MAT-DMIC-C01,"LPDRAM Die 4MB 16nm SDRAM (KR origin, JEDEC LPDDR4)",ROH,PC,1200.00,JPY,811261,EAR99,PENDING,KR,,2026-06-03T01:58:18.811176,True,2026-05-05T00:52:46.406895,2026-06-03T01:58:18.811281
MAT-DMIC-C02,ARM Cortex-M4 MCU Core Die 32bit 120MHz FPU DSP (TW fabless),ROH,PC,1800.00,JPY,854040,EAR99,PENDING,TW,,2026-06-03T01:58:18.814913,True,2026-05-05T00:52:46.408085,2026-06-03T01:58:18.814988
MAT-DMIC-C03,"BGA Package Substrate 7x7mm 0.5mm pitch (FC-BGA, semiconductor)",ROH,PC,350.00,JPY,720853,6C004,PENDING,JP,,2026-06-03T01:58:18.818724,True,2026-05-05T00:52:46.409064,2026-06-03T01:58:18.818828
MAT-DMIC-C04,"Gold Bonding Wire 25um 99.99% (thermo-compression, IC assembly)",ROH,M,180.00,JPY,701915,1C005,PENDING,JP,,2026-06-03T01:58:18.822386,True,2026-05-05T00:52:46.409941,2026-06-03T01:58:18.822448
MAT-DMIC-C05,Epoxy Mold Compound Silica-filled (semiconductor encapsulant),ROH,G,12.00,JPY,390730,3C909,PENDING,JP,,2026-06-03T01:58:18.825854,True,2026-05-05T00:52:46.410938,2026-06-03T01:58:18.825913
CTRL-HC200,高精度ハイブリッドコントローラーIC,FERT,PC,12500.00,JPY,8542.39.00,3A001.b.1,UNKNOWN,,,,True,2026-06-07T02:07:15.045704,2026-06-07T02:07:15.045706
SIL-WAF-JP,高純度シリコンウェーハ (日本産),ROH,PC,1200.00,JPY,3818.00.10,3C001,UNKNOWN,JP,,,True,2026-06-07T02:07:15.046574,2026-06-07T02:07:15.046575
SIL-WAF-US,高純度シリコンウェーハ (米国産),ROH,PC,1800.00,JPY,3818.00.10,3C001,UNKNOWN,US,,,True,2026-06-07T02:07:15.046878,2026-06-07T02:07:15.046878
